ucdavis_id,spp,photo,TL,TLc,value,ala,asp,glu,gly,lys,leu,phe,pro,val,ser,thr
KVH216,MAMANE,C3_N2fix,1,A,ave,0.73,0.52,0.59,0.04,-1.16,-5.61,-1.23,7.58,1.05,-2.88,-2.73
KVH217,MAMANE,C3_N2fix,1,A,ave,1.93,0.55,0.57,0.15,-1.85,-5.03,-0.19,6.59,1.5,-3.04,-3.32
KVH218,MAMANE,C3_N2fix,1,A,ave,3.5,0.73,0.78,0.43,-1.06,-4.45,-0.34,7.56,1.4,-2.83,-2.23
KVH219,NAIO,C3_standard,1,A,ave,5.84,3.87,2.19,-3.53,1.46,-3.36,14.88,4.28,4.14,0.07,-11.17
KVH220,NAIO,C3_standard,1,A,ave,7.4,3.43,1.99,-3.36,0.77,-3.15,15.06,3.83,4.2,-0.57,-9.46
KVH221,NAIO,C3_standard,1,A,ave,5.27,4.19,2.35,-3.46,1.2,-2.74,15.31,4.38,4.16,0.08,-9.64
KVH222,CYDIA,,2,B,ave,11.76,6.65,9.12,4.11,0.82,0.12,7.51,13.88,5.29,5.79,-4.91
KVH223,CYDIA,,2,B,ave,7.2,5.87,8.03,3.02,0.12,-1.48,6.97,12.15,3.66,3.98,-6.59
KVH224,FOLCAT,,2,B,ave,8.74,5.85,8.23,-2.67,-0.93,-0.36,10.84,8.57,3.57,-1.15,-3.77
KVH225,FOLCAT,,2,B,ave,8.88,5.74,7.87,-3.34,-0.22,0.11,10.95,8.73,3.54,-1.2,-3.94
KVH226,SPIDER,,3,C,ave,7.38,8.21,10.35,3.79,0.35,4.93,7.85,14.7,10.64,5.52,-12.2
KVH227,SPIDER,,3,C,ave,11.37,7.67,10.6,4.43,0.22,6.13,6.48,14.14,10.11,4.59,-13.14
KVH228,ARTHO,,3,C,ave,13.3,7.97,9.69,1.8,1.58,0.3,8.31,15.94,7,2.49,-5.01
KVH229,ARTHO,,3,C,ave,13.97,9.12,10.87,4.66,1.19,2.12,10.29,17,7.95,4.53,-3.79
KVH216,MAMANE,C3_N2fix,1,A,sd,0.65,0.28,0.37,0.22,0.34,0.62,0.41,0.14,0.24,0.37,0.61
KVH217,MAMANE,C3_N2fix,1,A,sd,0.52,0.26,0.45,0.16,0.37,0.21,0.39,0.34,0.39,0.22,0.53
KVH218,MAMANE,C3_N2fix,1,A,sd,1.01,0.21,0.28,0.24,0.48,0.14,0.57,0.67,0.21,0.52,0.79
KVH219,NAIO,C3_standard,1,A,sd,1.07,0.17,0.24,0.02,0.45,0.84,0.07,0.25,0.7,0.13,0.07
KVH220,NAIO,C3_standard,1,A,sd,0.12,0.06,0.43,0.67,1.3,0.8,0.47,0.82,0.7,0.58,0.54
KVH221,NAIO,C3_standard,1,A,sd,0.15,0.06,0.01,0.05,0.02,0.36,1.16,0.21,0.72,0.58,1.13
KVH222,CYDIA,,2,B,sd,1.26,0.18,0.29,0.19,1.9,0.5,1.08,0.87,0.23,1.17,0.8
KVH223,CYDIA,,2,B,sd,0.63,0.28,0.49,0.3,1.18,0.7,0.72,0.06,0.02,0.07,0.35
KVH224,FOLCAT,,2,B,sd,0.21,0.15,0.22,0.17,0.36,0.09,0.4,0.25,0.15,0.02,0.3
KVH225,FOLCAT,,2,B,sd,0.14,0.55,0.2,0.12,0.59,0.02,0.5,0.15,0.11,0.33,0.18
KVH226,SPIDER,,3,C,sd,0.54,1.02,0.11,0.22,0.42,0.05,0.24,0.52,0.95,0.62,0.47
KVH227,SPIDER,,3,C,sd,0.17,0.03,0.87,0.07,0.26,0.47,0.28,0.47,0.12,0.54,0.66
KVH228,ARTHO,,3,C,sd,0.65,0.42,0.07,0.95,0.34,0.22,0.28,0.45,0.34,0.54,0.77
KVH229,ARTHO,,3,C,sd,0.2,0.66,0.21,0.25,0.13,0.58,0.18,0.24,0.22,0.15,0.04